"permission_name","displayName","category","superuser_status"
"can_configure_rksv_settings","RKSV-Einstellungen verwalten","dach_compliance","ZUGEWIESEN"
"can_configure_tse_settings","TSE-Einstellungen verwalten","dach_compliance","ZUGEWIESEN"
"can_manage_country_assignments","Länder-Zuordnungen verwalten","dach_compliance","ZUGEWIESEN"
"can_manage_tax_classes","Steuerklassen verwalten","dach_compliance","ZUGEWIESEN"
"can_setup_country_defaults","Länder-Setup durchführen","dach_compliance","ZUGEWIESEN"
"can_view_tax_reports","Steuer-Reports anzeigen","dach_compliance","ZUGEWIESEN"
"can_create_facilities","Einrichtungen erstellen","facility_management","ZUGEWIESEN"
"can_delete_facilities","Einrichtungen löschen","facility_management","ZUGEWIESEN"
"can_edit_facilities","Einrichtungen bearbeiten","facility_management","ZUGEWIESEN"
"can_view_facilities","Einrichtungen anzeigen","facility_management","ZUGEWIESEN"
"can_create_gyms","Gyms erstellen","gym_management","ZUGEWIESEN"
"can_delete_gyms","Gyms löschen","gym_management","ZUGEWIESEN"
"can_edit_gyms","Gyms bearbeiten","gym_management","ZUGEWIESEN"
"can_view_gyms","Gyms anzeigen","gym_management","ZUGEWIESEN"
"can_access_favorites_category","Favoriten-Kategorie verwalten","product_management","ZUGEWIESEN"
"can_create_products","Artikel erstellen","product_management","ZUGEWIESEN"
"can_delete_products","Artikel löschen","product_management","ZUGEWIESEN"
"can_edit_products","Artikel bearbeiten","product_management","ZUGEWIESEN"
"can_manage_product_categories","Kategorien verwalten","product_management","ZUGEWIESEN"
"can_manage_product_stock","Lagerbestand verwalten","product_management","ZUGEWIESEN"
"can_scan_product_barcodes","Barcode scannen","product_management","ZUGEWIESEN"
"can_view_products","Artikel anzeigen","product_management","ZUGEWIESEN"
"can_assign_permissions","Permissions zuweisen","rbac_management","ZUGEWIESEN"
"can_manage_permissions","Permissions verwalten","rbac_management","ZUGEWIESEN"
"can_manage_roles","Rollen verwalten","rbac_management","ZUGEWIESEN"
"can_access_audit_logs","Audit-Logs","reporting_analytics","ZUGEWIESEN"
"can_access_financial_reports","Finanzberichte","reporting_analytics","ZUGEWIESEN"
"can_export_reports","Berichte exportieren","reporting_analytics","ZUGEWIESEN"
"can_view_reports","Berichte anzeigen","reporting_analytics","ZUGEWIESEN"
"can_create_staff","Mitarbeiter erstellen","staff_management","ZUGEWIESEN"
"can_create_staff_users","Staff-User erstellen","staff_management","ZUGEWIESEN"
"can_delete_staff","Mitarbeiter löschen","staff_management","ZUGEWIESEN"
"can_delete_staff_users","Staff-User löschen","staff_management","ZUGEWIESEN"
"can_edit_staff","Mitarbeiter bearbeiten","staff_management","ZUGEWIESEN"
"can_edit_staff_users","Staff-User bearbeiten","staff_management","ZUGEWIESEN"
"can_manage_staff_roles","Mitarbeiterrollen verwalten","staff_management","ZUGEWIESEN"
"can_view_staff","Mitarbeiter anzeigen","staff_management","ZUGEWIESEN"
"can_view_staff_permissions","Staff-Permissions anzeigen","staff_management","ZUGEWIESEN"
"can_view_staff_schedules","Dienstpläne anzeigen","staff_management","ZUGEWIESEN"
"can_view_staff_users","Staff-User anzeigen","staff_management","ZUGEWIESEN"
"can_create_status_types","Status-Typen erstellen","status_management","ZUGEWIESEN"
"can_delete_status_types","Status-Typen löschen","status_management","ZUGEWIESEN"
"can_edit_status_types","Status-Typen bearbeiten","status_management","ZUGEWIESEN"
"can_view_status_types","Status-Typen anzeigen","status_management","ZUGEWIESEN"
"can_access_admin_dashboard","Admin Dashboard","system_settings","ZUGEWIESEN"
"can_access_system_settings","Systemeinstellungen","system_settings","ZUGEWIESEN"
"can_manage_system_backups","Systemsicherungen verwalten","system_settings","ZUGEWIESEN"
"can_modify_system_config","Systemkonfiguration","system_settings","ZUGEWIESEN"
"can_create_tickets","Tickets erstellen","ticket_management","ZUGEWIESEN"
"can_delete_tickets","Tickets löschen","ticket_management","ZUGEWIESEN"
"can_edit_tickets","Tickets bearbeiten","ticket_management","ZUGEWIESEN"
"can_issue_refunds","Rückerstattungen durchführen","ticket_management","ZUGEWIESEN"
"can_manage_ticket_types","Tickettypen verwalten","ticket_management","ZUGEWIESEN"
"can_process_payments","Zahlungen verarbeiten","ticket_management","ZUGEWIESEN"
"can_scan_tickets","Tickets scannen","ticket_management","ZUGEWIESEN"
"can_validate_tickets","Tickets validieren","ticket_management","ZUGEWIESEN"
"can_view_all_tickets","Alle Tickets anzeigen","ticket_management","ZUGEWIESEN"
"can_view_tickets","Tickets anzeigen","ticket_management","ZUGEWIESEN"
"can_block_users","Benutzer sperren","user_management","ZUGEWIESEN"
"can_create_user_notes","Benutzernotizen erstellen","user_management","ZUGEWIESEN"
"can_create_users","Benutzer erstellen","user_management","ZUGEWIESEN"
"can_delete_users","Benutzer löschen","user_management","ZUGEWIESEN"
"can_edit_user_notes","Benutzernotizen bearbeiten","user_management","ZUGEWIESEN"
"can_edit_user_profiles","Benutzerprofile bearbeiten","user_management","ZUGEWIESEN"
"can_edit_users","Benutzer bearbeiten","user_management","ZUGEWIESEN"
"can_manage_user_permissions","Benutzerberechtigungen verwalten","user_management","ZUGEWIESEN"
"can_reset_user_passwords","Passwörter zurücksetzen","user_management","ZUGEWIESEN"
"can_unblock_users","Benutzer entsperren","user_management","ZUGEWIESEN"
"can_view_user_details","Benutzerdetails anzeigen","user_management","ZUGEWIESEN"
"can_view_user_notes","Benutzernotizen anzeigen","user_management","ZUGEWIESEN"
"can_view_user_profiles","Benutzerprofile anzeigen","user_management","ZUGEWIESEN"
"can_view_users","Benutzer anzeigen","user_management","ZUGEWIESEN"
